X,Y,Z,ms,Date
-1,-10,1,227007,2018-07-25 07:35:48:601
4,-9,0,227507,2018-07-25 07:35:49:101
3,-10,0,228008,2018-07-25 07:35:49:602
2,-10,2,228507,2018-07-25 07:35:50:101
2,-10,1,229008,2018-07-25 07:35:50:602
1,-8,3,229508,2018-07-25 07:35:51:102
0,-10,0,230008,2018-07-25 07:35:51:602
-1,-10,0,230508,2018-07-25 07:35:52:102
-1,-10,-1,231008,2018-07-25 07:35:52:602
-2,-9,3,231508,2018-07-25 07:35:53:102
1,-10,0,232008,2018-07-25 07:35:53:602
1,-10,0,232507,2018-07-25 07:35:54:101
1,-10,0,233007,2018-07-25 07:35:54:601
0,-10,0,233507,2018-07-25 07:35:55:101
-1,-10,-2,234007,2018-07-25 07:35:55:601
0,-9,1,234508,2018-07-25 07:35:56:102
3,-6,2,235007,2018-07-25 07:35:56:601
-1,-9,2,235507,2018-07-25 07:35:57:101
-1,-14,3,236007,2018-07-25 07:35:57:601
-9,-7,3,236507,2018-07-25 07:35:58:101
-8,-2,2,237008,2018-07-25 07:35:58:602
1,0,6,237508,2018-07-25 07:35:59:102
0,3,6,238008,2018-07-25 07:35:59:602
-1,3,8,238507,2018-07-25 07:36:00:101
0,1,11,239008,2018-07-25 07:36:00:602
2,5,8,239507,2018-07-25 07:36:01:101
-1,5,7,240008,2018-07-25 07:36:01:602
-3,6,8,240508,2018-07-25 07:36:02:102
0,5,6,241007,2018-07-25 07:36:02:601
1,4,12,241507,2018-07-25 07:36:03:101
0,5,9,242007,2018-07-25 07:36:03:601
1,4,8,242507,2018-07-25 07:36:04:101
-1,4,10,243008,2018-07-25 07:36:04:602
-1,4,9,243508,2018-07-25 07:36:05:102
-1,4,9,244008,2018-07-25 07:36:05:602
-1,4,9,244508,2018-07-25 07:36:06:102
-1,4,9,245007,2018-07-25 07:36:06:601
-3,5,8,245508,2018-07-25 07:36:07:102
-2,4,9,246008,2018-07-25 07:36:07:602
-1,4,9,246508,2018-07-25 07:36:08:102
-1,4,9,247008,2018-07-25 07:36:08:602
-1,4,9,247507,2018-07-25 07:36:09:101
-1,4,9,248007,2018-07-25 07:36:09:601
-1,4,9,248507,2018-07-25 07:36:10:101
-1,4,9,249008,2018-07-25 07:36:10:602
-1,4,9,249508,2018-07-25 07:36:11:102
-1,4,9,250008,2018-07-25 07:36:11:602
-1,3,9,250508,2018-07-25 07:36:12:102
-1,3,10,251008,2018-07-25 07:36:12:602
-1,3,10,251508,2018-07-25 07:36:13:102
-1,3,10,252008,2018-07-25 07:36:13:602
-1,3,10,252508,2018-07-25 07:36:14:102
-1,3,10,253007,2018-07-25 07:36:14:601
0,3,10,253507,2018-07-25 07:36:15:101
0,3,10,254008,2018-07-25 07:36:15:602
